cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
r,o,i,a,x,s,w,f,t,p,w,o,s,g,e
o,e,e,a,f,s,n,f,t,p,w,o,s,g,e
q,i,h,b,x,s,g,f,t,p,w,o,a,g,e
f,b,h,c,x,s,w,f,t,p,w,o,a,g,e
p,m,h,c,f,s,n,f,t,p,w,o,s,g,e
e,l,a,a,f,s,n,f,t,p,w,o,a,g,e
q,f,g,b,x,s,g,f,t,p,w,o,s,g,e
i,g,h,c,b,s,w,f,e,p,w,o,n,g,e
p,e,e,b,x,s,g,f,t,p,w,o,s,g,e
q,j,h,a,x,s,y,f,e,p,w,o,s,m,e
d,j,i,a,f,y,w,f,e,p,w,o,v,g,p
r,h,c,c,f,s,w,f,t,p,w,o,s,g,e
k,m,g,a,f,s,n,f,t,p,w,o,s,g,e
d,j,g,a,f,s,g,f,t,p,w,o,s,g,e
r,h,d,c,f,f,g,f,t,p,w,o,s,g,e
d,k,i,b,x,y,n,f,t,p,w,o,y,d,e
c,l,a,a,x,f,n,f,t,p,w,o,y,d,e
n,b,i,c,x,y,y,f,e,p,w,o,y,p,e
n,b,j,c,x,f,g,f,t,p,w,o,y,d,e
l,k,d,c,f,f,g,f,t,p,w,o,a,g,e
c,j,b,b,f,s,n,f,t,p,w,o,s,g,e
l,n,i,c,f,s,w,f,t,p,w,o,a,g,e
n,e,j,b,x,f,g,f,t,p,w,o,a,g,e
h,j,c,a,f,s,w,f,t,p,w,o,s,g,e
b,b,d,c,f,f,g,f,t,p,w,o,a,g,e
d,j,e,a,x,f,g,f,t,p,w,o,a,g,e
m,c,h,b,x,s,n,f,t,p,w,o,a,g,e
p,f,i,a,x,f,n,f,t,p,w,o,y,d,e
k,f,d,c,f,s,w,f,t,p,w,o,s,g,e
q,d,b,a,f,f,n,f,t,p,w,o,s,g,e
s,a,h,a,f,y,n,f,e,p,w,o,s,g,p
e,g,d,c,x,f,n,f,t,p,w,o,y,d,e
g,e,c,c,x,f,n,f,t,p,w,o,s,g,e
i,f,f,c,f,f,w,f,t,p,w,o,s,g,e
g,l,d,c,f,y,n,f,e,p,w,o,v,u,p
b,b,a,a,f,f,g,f,t,p,w,o,s,g,e
o,k,h,a,x,f,g,f,t,p,w,o,v,d,e
o,c,f,a,x,f,w,f,t,p,w,o,a,g,e
p,b,e,a,x,f,g,f,t,p,w,o,s,g,e
f,m,g,b,x,f,n,f,t,p,w,o,v,d,e
s,c,c,a,x,s,g,f,t,p,w,o,a,g,e
m,o,c,c,f,f,w,f,t,p,w,o,a,g,e
q,j,h,b,x,f,g,f,t,p,w,o,y,d,e
p,g,j,c,x,y,w,f,e,p,w,o,n,g,e
o,h,f,c,x,y,w,f,e,p,w,o,n,m,e
b,m,j,a,f,s,g,f,t,p,w,o,s,g,e
m,h,i,b,f,s,w,f,t,p,w,o,a,g,e
k,j,g,c,f,s,n,f,t,p,w,o,s,g,e
b,l,c,a,f,s,w,f,t,p,w,o,a,g,e
h,l,c,b,x,f,n,f,t,p,w,o,a,g,e
k,l,f,c,x,s,n,f,t,p,w,o,s,g,e
i,a,b,b,b,y,y,f,e,p,w,o,n,m,e
f,n,a,a,f,y,w,f,e,p,w,o,v,g,p
p,o,g,c,x,s,n,f,t,p,w,o,a,g,e
m,k,e,c,f,s,n,f,t,p,w,o,s,g,e
f,h,g,b,x,y,n,f,e,p,w,o,s,g,e
c,e,f,a,x,s,g,f,t,p,w,o,a,g,e
h,c,i,c,f,s,w,f,t,p,w,o,a,g,e
e,f,j,c,x,s,n,f,e,p,w,o,v,u,p
e,g,g,b,f,s,g,f,t,p,w,o,a,g,e
f,c,d,c,x,f,w,f,t,p,w,o,s,g,e
f,a,f,a,f,s,n,f,e,p,w,o,v,g,p
b,f,b,c,x,f,n,f,t,p,w,o,a,g,e
k,n,f,c,x,s,n,f,t,p,w,o,a,g,e
k,k,h,a,x,f,n,f,t,p,w,o,v,d,e
k,g,c,c,f,s,w,f,t,p,w,o,s,g,e
o,o,c,b,f,s,w,f,e,p,w,o,v,u,p
r,e,d,b,x,f,w,f,t,p,w,o,a,g,e
r,g,d,b,f,f,n,f,t,p,w,o,s,g,e
q,m,i,c,f,s,g,f,t,p,w,o,s,g,e
c,b,c,a,x,f,w,f,t,p,w,o,a,g,e
l,k,f,c,f,y,n,f,e,p,w,o,y,g,e
c,n,b,a,f,s,w,f,e,p,w,o,s,g,p
l,n,j,a,x,f,w,f,t,p,w,o,a,g,e
d,f,a,c,f,f,n,f,e,p,w,o,y,u,e
q,n,i,a,f,y,n,f,e,p,w,o,s,u,p
r,k,d,c,f,s,w,f,t,p,w,o,s,g,e
n,f,c,c,x,f,g,f,t,p,w,o,s,g,e
g,j,c,b,f,y,y,f,e,p,w,o,y,p,e
n,f,b,c,x,f,w,f,t,p,w,o,s,g,e
i,h,i,a,x,f,w,f,t,p,w,o,a,g,e
e,f,g,a,f,y,n,f,e,p,w,o,s,g,p
q,e,b,c,f,f,n,f,t,p,w,o,s,g,e
r,c,c,c,f,f,g,f,t,p,w,o,s,g,e
j,a,f,a,x,f,n,f,t,p,w,o,s,g,e
q,b,c,a,x,f,n,f,t,p,w,o,v,d,e
k,a,j,b,x,s,g,f,t,p,w,o,s,g,e
p,g,f,b,x,s,g,f,t,p,w,o,a,g,e
p,j,a,a,x,f,w,f,t,p,w,o,s,g,e
d,k,f,b,f,f,g,f,t,p,w,o,s,g,e
p,f,e,b,x,f,n,f,t,p,w,o,y,d,e
c,b,c,b,x,s,w,f,t,p,w,o,s,g,e
g,n,h,a,x,s,w,f,e,p,w,o,s,u,p
c,n,j,b,f,s,g,f,t,p,w,o,a,g,e
j,d,b,b,x,s,n,f,t,p,w,o,s,g,e
e,e,b,a,x,f,n,f,t,p,w,o,v,d,e
l,f,d,b,x,y,y,f,e,p,w,o,y,g,e
k,m,i,c,x,s,g,f,t,p,w,o,a,g,e
i,o,b,c,x,f,n,f,t,p,w,o,a,g,e
o,k,i,b,x,f,w,f,t,p,w,o,a,g,e
m,o,e,c,x,y,y,f,e,p,w,o,s,g,e
c,f,h,c,x,f,n,f,t,p,w,o,y,d,e
o,j,j,c,x,f,w,f,t,p,w,o,a,g,e
q,i,a,c,x,f,w,f,t,p,w,o,a,g,e
q,g,i,b,f,s,n,f,e,p,w,o,s,u,p
p,i,d,a,f,s,w,f,e,p,w,o,v,u,p
s,g,d,c,x,s,n,f,t,p,w,o,a,g,e
r,j,i,b,x,f,g,f,e,p,w,o,v,u,e
d,h,f,b,f,s,n,f,t,p,w,o,s,g,e
a,n,i,a,x,s,w,f,t,p,w,o,a,g,e
r,n,g,b,f,s,w,f,e,p,w,o,s,g,p
f,d,c,a,b,s,y,f,e,p,w,o,s,g,e
s,g,i,b,x,f,n,f,t,p,w,o,a,g,e
r,i,d,a,f,y,n,f,e,p,w,o,s,u,p
g,l,a,c,x,s,g,f,t,p,w,o,a,g,e
i,m,a,c,x,s,g,f,t,p,w,o,s,g,e
e,f,b,a,x,s,w,f,t,p,w,o,s,g,e
b,k,g,b,f,s,w,f,e,p,w,o,v,u,p
i,d,g,c,f,s,w,f,t,p,w,o,a,g,e
p,f,i,b,x,f,n,f,t,p,w,o,a,g,e
s,f,b,c,f,f,n,f,t,p,w,o,s,g,e
b,a,i,a,x,f,n,f,t,p,w,o,a,g,e
s,i,c,b,f,y,n,f,e,p,w,o,v,g,p
r,a,g,a,x,f,w,f,t,p,w,o,s,g,e
j,a,c,a,f,s,w,f,t,p,w,o,a,g,e
h,c,e,c,f,y,w,f,e,p,w,o,v,u,p
c,o,i,c,f,s,g,f,t,p,w,o,a,g,e
n,e,d,c,f,y,n,f,t,p,w,o,v,d,e
p,n,h,c,x,f,g,f,t,p,w,o,a,g,e
g,j,a,a,x,f,g,f,t,p,w,o,v,d,e
o,a,h,b,x,y,n,f,t,p,w,o,v,d,e
b,l,b,a,f,f,n,f,t,p,w,o,y,d,e
n,a,f,b,f,y,e,f,t,p,w,o,v,d,e
b,m,a,c,f,s,g,f,t,p,w,o,s,g,e
k,d,c,b,x,f,g,f,t,p,w,o,y,d,e
b,k,j,c,x,y,g,f,t,p,w,o,y,d,e
k,b,f,a,x,f,g,f,t,p,w,o,s,g,e
b,n,f,b,f,s,n,f,e,p,w,o,s,g,p
h,b,j,b,f,f,n,f,t,p,w,o,v,d,e
d,m,e,b,x,s,n,f,e,p,w,o,v,g,p
f,g,e,c,x,s,w,f,e,p,w,o,s,g,e
o,n,e,b,x,s,w,f,t,p,w,o,a,g,e
h,d,f,c,x,y,y,f,e,p,w,o,s,g,e
b,a,h,a,x,f,g,f,e,p,w,o,y,g,p
q,k,e,b,f,s,n,f,t,p,w,o,a,g,e
j,n,f,b,f,s,w,f,t,p,w,o,s,g,e
s,a,d,a,x,f,n,f,t,p,w,o,v,d,e
s,h,j,b,f,s,n,f,t,p,w,o,s,g,e
j,k,d,a,x,f,n,f,t,p,w,o,s,g,e
h,k,j,c,x,s,w,f,e,p,w,o,v,u,p
e,l,e,b,f,f,n,f,t,p,w,o,y,d,e
e,c,a,c,x,y,w,f,e,p,w,o,n,g,e
m,d,b,b,f,f,g,f,t,p,w,o,s,g,e
d,i,c,b,x,y,e,f,t,p,w,o,v,d,e
b,j,h,b,f,f,w,f,t,p,w,o,s,g,e
o,d,g,b,x,s,g,f,t,p,w,o,a,g,e
c,f,i,b,x,y,n,f,t,p,w,o,v,d,e
o,n,i,c,x,y,g,f,t,p,w,o,y,d,e
i,n,c,b,x,f,g,f,t,p,w,o,v,d,e
i,j,c,b,f,s,w,f,t,p,w,o,a,g,e
g,k,i,c,x,f,g,f,t,p,w,o,v,d,e
d,c,e,b,x,f,n,f,t,p,w,o,v,d,e
q,e,c,a,x,f,e,f,t,p,w,o,v,d,e
c,i,i,b,x,y,n,f,t,p,w,o,y,d,e
f,i,f,c,f,f,w,f,t,p,w,o,s,g,e
l,i,e,b,x,y,n,f,t,p,w,o,y,d,e
p,f,a,b,x,s,g,f,t,p,w,o,s,g,e
g,h,b,a,x,f,g,f,t,p,w,o,a,g,e
j,j,c,b,f,f,w,f,t,p,w,o,a,g,e
j,e,e,b,x,y,g,f,t,p,w,o,v,d,e
g,h,a,a,f,y,n,f,e,p,w,o,s,u,p
r,l,c,b,x,y,e,f,t,p,w,o,v,d,e
c,f,g,a,f,f,w,f,t,p,w,o,s,g,e
c,h,c,b,f,s,g,f,t,p,w,o,a,g,e
h,b,c,c,x,y,g,f,t,p,w,o,v,d,e
k,h,h,c,f,f,g,f,t,p,w,o,v,d,e
g,k,h,b,x,f,n,f,t,p,w,o,v,d,e
h,e,e,c,f,f,e,f,t,p,w,o,v,d,e
b,o,j,a,x,s,w,f,t,p,w,o,a,g,e
s,o,e,a,x,f,e,f,t,p,w,o,v,d,e
g,n,h,c,x,f,n,f,t,p,w,o,v,d,e
b,h,c,c,x,f,g,f,t,p,w,o,y,d,e
q,g,b,c,x,f,n,f,t,p,w,o,y,d,e
p,o,d,a,x,f,y,f,t,p,w,o,v,d,e
b,d,j,b,x,f,e,f,t,p,w,o,v,d,e
h,e,f,b,f,s,w,f,e,p,w,o,v,g,p
g,m,b,a,x,s,w,f,t,p,w,o,s,g,e
k,m,e,b,x,f,e,f,t,p,w,o,y,d,e
k,m,i,a,x,y,n,f,t,p,w,o,v,d,e
o,g,f,a,x,f,w,f,t,p,w,o,a,g,e
o,i,b,c,x,f,g,f,t,p,w,o,y,d,e
q,k,a,b,x,s,g,f,t,p,w,o,s,g,e
o,d,i,c,x,y,e,f,t,p,w,o,y,d,e
q,i,f,c,x,y,n,f,t,p,w,o,v,d,e
o,m,f,c,x,s,w,f,t,p,w,o,a,g,e
c,k,f,b,x,s,n,f,t,p,w,o,a,g,e
g,g,g,c,x,s,w,f,t,p,w,o,s,g,e
f,j,j,a,x,s,n,f,t,p,w,o,s,g,e
g,b,f,b,f,f,e,f,t,p,w,o,y,d,e
c,e,e,c,f,f,w,f,t,p,w,o,a,g,e
h,k,i,a,f,f,g,f,t,p,w,o,a,g,e
f,c,a,c,x,y,e,f,t,p,w,o,v,d,e
k,o,g,b,x,f,e,f,t,p,w,o,y,d,e
o,n,d,b,x,y,g,f,t,p,w,o,v,d,e
a,d,b,b,x,f,e,f,t,p,w,o,y,d,e
l,a,c,b,f,s,n,f,t,p,w,o,s,g,e
h,k,d,a,x,s,w,f,t,p,w,o,a,g,e
s,e,h,c,x,s,w,f,t,p,w,o,a,g,e
q,l,f,a,x,f,w,f,t,p,w,o,a,g,e
l,a,h,b,x,f,e,f,t,p,w,o,v,d,e
c,i,d,c,x,f,n,f,t,p,w,o,y,d,e
d,a,f,c,f,f,n,f,t,p,w,o,v,d,e
f,h,i,c,f,f,w,f,t,p,w,o,v,d,e
i,d,h,b,f,f,w,f,t,p,w,o,a,g,e
s,c,g,b,f,y,w,f,e,p,w,o,s,g,p
h,m,d,c,f,f,g,f,t,p,w,o,v,d,e
p,d,d,b,x,f,n,f,t,p,w,o,v,d,e
p,m,f,b,x,s,w,f,t,p,w,o,a,g,e
p,f,h,b,x,f,w,f,t,p,w,o,a,g,e
j,f,g,c,x,s,n,f,t,p,w,o,a,g,e
j,o,i,a,x,f,n,f,t,p,w,o,a,g,e
s,k,j,b,x,s,g,f,t,p,w,o,a,g,e
q,l,g,a,x,y,n,f,t,p,w,o,v,d,e
l,e,d,c,x,f,n,f,t,p,w,o,y,d,e
p,f,j,c,f,s,g,f,t,p,w,o,s,g,e
c,g,i,c,f,s,n,f,t,p,w,o,a,g,e
i,g,g,b,x,s,g,f,t,p,w,o,s,g,e
i,m,a,b,f,f,g,f,t,p,w,o,y,d,e
a,c,d,c,x,s,w,f,t,p,w,o,a,g,e
o,d,d,a,f,f,n,f,t,p,w,o,a,g,e
b,b,f,b,f,s,w,f,t,p,w,o,s,g,e
a,n,d,a,x,f,g,f,t,p,w,o,s,g,e
g,o,j,a,f,f,n,f,t,p,w,o,a,g,e
j,e,d,c,f,f,n,f,t,p,w,o,a,g,e
s,o,c,b,x,f,n,f,t,p,w,o,v,d,e
s,f,c,b,f,s,g,f,t,p,w,o,a,g,e
g,l,g,a,f,s,w,f,t,p,w,o,s,g,e
s,b,i,c,x,y,e,f,t,p,w,o,v,d,e
d,a,e,c,x,y,g,f,t,p,w,o,v,d,e
o,o,a,b,x,y,e,f,t,p,w,o,v,d,e
d,l,b,c,x,f,g,f,t,p,w,o,s,g,e
d,i,c,c,f,f,g,f,t,p,w,o,a,g,e
p,i,h,a,f,y,y,f,e,p,w,o,y,g,e
f,i,b,a,f,y,w,f,e,p,w,o,v,u,p
a,a,g,c,f,s,n,f,t,p,w,o,a,g,e
q,m,b,b,f,f,n,f,t,p,w,o,s,g,e
q,e,g,c,f,f,n,f,t,p,w,o,v,d,e
f,g,b,a,x,f,e,f,t,p,w,o,y,d,e
f,k,e,a,f,f,g,f,t,p,w,o,a,g,e
q,g,g,c,x,f,n,f,t,p,w,o,s,g,e
c,m,b,b,x,f,g,f,t,p,w,o,s,g,e
s,m,g,a,x,y,e,f,t,p,w,o,v,d,e
c,g,h,c,f,f,n,f,t,p,w,o,v,d,e
r,i,h,b,x,f,n,f,t,p,w,o,s,g,e
f,c,j,b,x,f,n,f,t,p,w,o,a,g,e
o,a,b,b,f,s,w,f,t,p,w,o,s,g,e
m,b,c,a,f,s,g,f,t,p,w,o,s,g,e
h,b,d,c,f,y,w,f,e,p,w,o,s,u,p
p,m,g,c,b,s,w,f,e,p,w,o,s,g,e
l,h,f,b,x,f,n,f,t,p,w,o,v,d,e
j,j,c,a,f,f,g,f,t,p,w,o,a,g,e
h,d,a,a,x,f,n,f,t,p,w,o,s,g,e
s,f,f,c,x,s,n,f,t,p,w,o,s,g,e
m,b,g,a,f,s,w,f,t,p,w,o,v,d,e
h,h,h,c,x,f,w,f,t,p,w,o,a,g,e
m,l,f,a,x,s,w,f,t,p,w,o,a,g,e
b,i,e,c,x,s,g,f,t,p,w,o,s,g,e
d,g,g,a,x,y,e,f,t,p,w,o,v,d,e
s,a,i,a,f,f,n,f,t,p,w,o,v,d,e
l,e,c,a,x,f,n,f,t,p,w,o,v,d,e
s,a,e,a,f,f,w,f,t,p,w,o,s,g,e
e,b,i,a,f,s,n,f,t,p,w,o,s,g,e
m,l,d,a,f,s,w,f,e,p,w,o,v,u,p
p,o,f,c,f,f,n,f,t,p,w,o,s,g,e
g,b,g,c,x,y,g,f,t,p,w,o,y,d,e
s,e,i,b,x,y,g,f,t,p,w,o,v,d,e
j,k,b,a,x,f,g,f,t,p,w,o,a,g,e
g,h,g,c,x,f,g,f,t,p,w,o,v,d,e
k,m,i,b,x,y,e,f,t,p,w,o,v,d,e
r,o,a,c,x,f,g,f,t,p,w,o,y,d,e
s,g,a,b,x,f,g,f,t,p,w,o,v,d,e
k,f,f,b,x,f,n,f,t,p,w,o,v,d,e
m,m,c,b,x,s,w,f,e,p,w,o,v,g,p
s,o,c,a,x,f,n,f,t,p,w,o,s,g,e
h,n,d,b,x,y,n,f,t,p,w,o,v,d,e
o,b,h,c,x,f,g,f,t,p,w,o,y,d,e
q,o,e,b,f,y,n,f,e,p,w,o,s,g,p
a,d,d,c,x,f,g,f,t,p,w,o,y,d,e
g,n,f,c,x,f,g,f,t,p,w,o,s,g,e
k,h,j,a,x,f,e,f,t,p,w,o,v,d,e
b,i,d,b,f,f,n,f,t,p,w,o,s,g,e
m,c,j,c,f,s,w,f,t,p,w,o,a,g,e
b,l,g,b,f,s,n,f,t,p,w,o,s,g,e
l,c,h,c,x,y,e,f,t,p,w,o,v,d,e
d,i,h,a,f,s,n,f,t,p,w,o,s,g,e
p,h,j,c,f,f,n,f,t,p,w,o,v,d,e
i,h,c,a,f,s,w,f,t,p,w,o,s,g,e
e,a,j,b,x,f,n,f,t,p,w,o,a,g,e
r,m,i,b,f,f,n,f,t,p,w,o,s,g,e
i,a,h,c,x,s,n,f,e,p,w,o,v,u,p
l,f,f,b,x,f,n,f,t,p,w,o,y,d,e
k,f,j,a,f,s,n,f,t,p,w,o,s,g,e
j,k,a,a,f,y,w,f,e,p,w,o,s,g,p
a,f,h,a,x,f,n,f,t,p,w,o,v,d,e
r,k,a,b,x,f,g,f,t,p,w,o,y,d,e
k,k,j,c,f,f,n,f,t,p,w,o,a,g,e
s,i,h,b,x,f,e,f,t,p,w,o,v,d,e
m,h,f,c,f,f,w,f,t,p,w,o,s,g,e
f,e,c,b,x,f,w,f,t,p,w,o,s,g,e
g,d,j,a,x,y,w,f,e,p,w,o,n,m,e
h,h,i,a,x,s,w,f,t,p,w,o,s,g,e
j,l,j,b,x,y,g,f,t,p,w,o,v,d,e
o,l,f,a,x,f,g,f,t,p,w,o,y,d,e
q,i,i,b,x,s,g,f,t,p,w,o,a,g,e
k,f,d,a,f,y,w,f,e,p,w,o,s,u,p
k,l,j,c,x,f,e,f,t,p,w,o,v,d,e
j,g,a,b,f,s,n,f,e,p,w,o,s,u,p
i,k,d,b,f,y,n,f,e,p,w,o,v,g,p
n,b,j,b,x,f,g,f,t,p,w,o,v,d,e
l,c,h,b,f,s,n,f,t,p,w,o,a,g,e
p,b,a,c,x,f,g,f,t,p,w,o,y,d,e
c,f,c,c,x,f,n,f,t,p,w,o,a,g,e
r,d,b,c,x,f,n,f,t,p,w,o,y,d,e
q,o,f,c,f,s,n,f,t,p,w,o,s,g,e
n,n,g,b,f,f,n,f,t,p,w,o,a,g,e
c,d,f,c,x,s,n,f,t,p,w,o,a,g,e
p,c,f,c,x,s,n,f,t,p,w,o,s,g,e
e,g,h,a,x,f,n,f,t,p,w,o,v,d,e
f,n,d,c,x,y,e,f,t,p,w,o,v,d,e
r,o,a,b,f,s,n,f,t,p,w,o,a,g,e
f,d,d,a,x,f,n,f,t,p,w,o,y,d,e
l,h,h,a,f,y,w,f,e,p,w,o,v,u,p
g,a,i,a,x,y,y,f,e,p,w,o,s,g,e
n,j,f,a,f,s,n,f,e,p,w,o,s,g,p
s,m,e,b,f,f,w,f,t,p,w,o,s,g,e
l,j,g,c,f,f,n,f,t,p,w,o,a,g,e
s,c,b,b,f,s,n,f,e,p,w,o,v,g,p
k,f,j,b,x,s,n,f,t,p,w,o,a,g,e
e,n,g,b,x,f,n,f,t,p,w,o,s,g,e
r,g,f,a,x,f,e,f,t,p,w,o,v,d,e
p,g,b,c,f,f,n,f,t,p,w,o,a,g,e
c,j,d,c,x,f,w,f,t,p,w,o,s,g,e
g,i,j,a,f,s,g,f,t,p,w,o,a,g,e
s,f,d,c,f,f,w,f,t,p,w,o,s,g,e
g,h,j,a,f,s,y,f,t,p,w,o,v,d,e
q,m,j,a,f,f,w,f,t,p,w,o,v,d,e
e,g,f,a,f,f,n,f,t,p,w,o,a,g,e
d,e,j,c,x,f,n,f,t,p,w,o,y,d,e
a,b,e,b,x,y,g,f,t,p,w,o,y,d,e
m,k,b,a,x,f,n,f,t,p,w,o,y,d,e
e,b,g,b,x,f,n,f,t,p,w,o,s,g,e
d,i,g,b,x,f,g,f,t,p,w,o,y,d,e
h,c,j,c,x,f,n,f,t,p,w,o,v,d,e
b,e,j,c,x,f,g,f,t,p,w,o,a,g,e
r,i,c,a,x,f,n,f,t,p,w,o,v,d,e
b,j,b,b,x,s,n,f,t,p,w,o,a,g,e
l,b,i,a,b,y,w,f,e,p,w,o,s,m,e
q,d,g,a,x,y,e,f,t,p,w,o,v,d,e
r,j,h,c,f,s,n,f,t,p,w,o,s,g,e
p,c,d,a,x,f,e,f,t,p,w,o,y,d,e
f,f,h,a,f,y,n,f,t,p,w,o,y,d,e
m,m,e,c,x,y,g,f,t,p,w,o,v,d,e
p,f,c,c,x,s,g,f,t,p,w,o,a,g,e
a,n,i,c,x,s,n,f,t,p,w,o,s,g,e
m,n,a,a,x,f,g,f,t,p,w,o,a,g,e
q,k,j,c,x,s,g,f,t,p,w,o,a,g,e
e,i,e,a,x,y,e,f,t,p,w,o,y,d,e
b,d,e,b,f,f,g,f,t,p,w,o,y,d,e
l,b,g,b,f,f,n,f,t,p,w,o,y,d,e
h,g,j,b,x,f,n,f,t,p,w,o,s,g,e
j,b,j,a,f,s,n,f,t,p,w,o,s,g,e
h,e,f,c,x,f,w,f,t,p,w,o,s,g,e
q,o,h,c,x,y,y,f,e,p,w,o,s,p,e
c,h,d,b,x,f,e,f,t,p,w,o,v,d,e
k,g,i,b,x,f,n,f,t,p,w,o,s,g,e
a,h,e,b,x,y,n,f,t,p,w,o,v,d,e
n,g,e,a,f,f,g,f,t,p,w,o,y,d,e
m,o,j,a,x,f,w,f,t,p,w,o,a,g,e
g,g,h,b,x,y,w,f,e,p,w,o,s,m,e
c,h,b,b,x,s,n,f,t,p,w,o,s,g,e
c,d,g,c,f,s,w,f,t,p,w,o,a,g,e
d,c,a,a,f,f,n,f,t,p,w,o,v,d,e
j,m,e,a,f,f,w,f,t,p,w,o,s,g,e
c,c,c,b,x,f,g,f,t,p,w,o,v,d,e
h,j,a,a,x,f,n,f,t,p,w,o,y,d,e
i,h,a,c,x,f,w,f,t,p,w,o,a,g,e
q,f,e,c,x,s,w,f,e,p,w,o,n,m,e
r,o,d,c,f,s,g,f,t,p,w,o,s,g,e
r,l,i,c,f,y,n,f,e,p,w,o,v,g,p
s,m,h,a,f,f,g,f,t,p,w,o,s,g,e
d,g,a,c,x,f,n,f,t,p,w,o,v,d,e
m,c,c,b,x,f,w,f,t,p,w,o,s,g,e
b,n,e,b,x,y,n,f,t,p,w,o,v,d,e
d,c,c,b,x,y,e,f,t,p,w,o,v,d,e
m,c,e,c,f,s,n,f,e,p,w,o,v,u,p
g,b,h,c,f,s,g,f,t,p,w,o,a,g,e
f,g,h,b,x,f,g,f,t,p,w,o,y,d,e
o,o,c,a,f,f,g,f,t,p,w,o,y,d,e
m,c,g,a,x,f,g,f,t,p,w,o,v,d,e
b,b,c,b,x,f,g,f,t,p,w,o,y,d,e
k,l,e,a,x,f,n,f,t,p,w,o,y,d,e
j,d,b,c,x,s,w,f,e,p,w,o,v,u,p
b,k,i,b,x,s,y,f,e,p,w,o,n,m,e
i,f,j,b,x,f,n,f,t,p,w,o,v,d,e
r,f,b,b,f,y,n,f,t,p,w,o,y,d,e
h,e,i,b,x,s,g,f,t,p,w,o,s,g,e
k,e,e,b,x,y,e,f,t,p,w,o,y,d,e
a,d,h,b,x,f,g,f,t,p,w,o,s,g,e
q,h,f,b,f,s,w,f,t,p,w,o,s,g,e
r,o,f,c,x,f,n,f,t,p,w,o,v,d,e
j,c,g,c,f,f,n,f,t,p,w,o,v,d,e
r,m,b,c,f,f,g,f,t,p,w,o,s,g,e
j,m,j,b,f,f,g,f,t,p,w,o,s,g,e
g,h,c,a,f,f,n,f,t,p,w,o,s,g,e
q,b,b,a,x,f,g,f,t,p,w,o,y,d,e
i,l,h,c,x,f,e,f,t,p,w,o,y,d,e
n,a,a,b,f,y,n,f,e,p,w,o,s,u,p
q,l,h,b,x,y,g,f,t,p,w,o,v,d,e
l,o,h,c,x,s,w,f,t,p,w,o,a,g,e
i,j,e,c,b,s,w,f,e,p,w,o,s,m,e
a,g,b,b,x,s,w,f,t,p,w,o,s,g,e
k,a,d,a,f,f,n,f,t,p,w,o,s,g,e
l,h,e,c,x,y,g,f,t,p,w,o,y,d,e
i,m,b,b,f,f,g,f,t,p,w,o,v,d,e
q,a,b,c,x,f,g,f,t,p,w,o,s,g,e
p,d,e,b,x,s,w,f,e,p,w,o,s,g,p
i,c,i,c,x,s,n,f,t,p,w,o,a,g,e
k,m,d,c,x,y,g,f,t,p,w,o,y,d,e
n,i,a,a,f,f,g,f,t,p,w,o,v,d,e
c,f,e,c,x,y,n,f,t,p,w,o,v,d,e
a,n,d,c,x,f,e,f,t,p,w,o,y,d,e
m,i,d,a,f,f,n,f,t,p,w,o,y,d,e
e,j,b,a,x,f,e,f,t,p,w,o,y,d,e
h,d,h,b,f,f,n,f,t,p,w,o,v,d,e
b,e,i,b,x,y,e,f,t,p,w,o,y,d,e
m,l,a,b,x,f,g,f,t,p,w,o,v,d,e
k,j,b,a,f,f,g,f,t,p,w,o,v,d,e
c,o,c,b,x,f,e,f,t,p,w,o,v,d,e
c,b,h,c,x,y,e,f,t,p,w,o,v,d,e
s,h,f,c,x,s,w,f,e,p,w,o,v,g,p
j,d,i,b,x,f,e,f,t,p,w,o,v,d,e
e,e,j,b,x,y,g,f,t,p,w,o,v,d,e
f,b,e,b,x,f,n,f,t,p,w,o,y,d,e
m,m,a,c,x,y,e,f,t,p,w,o,y,d,e
m,m,i,a,x,y,g,f,t,p,w,o,v,d,e
k,h,b,b,x,f,g,f,t,p,w,o,v,d,e
i,d,i,c,x,y,g,f,t,p,w,o,v,d,e
q,d,e,b,x,f,e,f,t,p,w,o,y,d,e
i,f,a,a,f,y,e,f,t,p,w,o,y,d,e
c,d,f,b,f,f,n,f,t,p,w,o,v,d,e
r,c,d,c,x,f,n,f,t,p,w,o,v,d,e
a,g,a,c,f,y,g,f,t,p,w,o,v,d,e
g,o,i,c,x,y,e,f,t,p,w,o,v,d,e
h,c,f,b,x,f,g,f,t,p,w,o,y,d,e
i,n,j,a,x,y,g,f,t,p,w,o,v,d,e
c,a,a,b,x,f,g,f,e,p,w,o,y,g,p
g,g,g,a,f,s,w,f,e,p,w,o,s,g,p
d,k,g,c,x,f,e,f,t,p,w,o,v,d,e
c,o,g,c,x,f,w,f,t,p,w,o,s,g,e
o,j,c,b,x,y,n,f,t,p,w,o,v,d,e
f,c,f,b,f,f,n,f,t,p,w,o,y,d,e
r,k,g,a,x,f,n,f,t,p,w,o,v,d,e
f,g,b,b,x,y,g,f,t,p,w,o,y,d,e
